类型,类别,正确题数,总题数,准确率
总体,overall,502,600,83.67%
难度,easy,252,300,84.00%
难度,hard,250,300,83.33%
类别,circle,0,0,0%
类别,hexagon,0,0,0%
类别,house,0,0,0%
类别,rectangle,0,0,0%
类别,square,0,0,0%
